city,date,temperature_2m_max,temperature_2m_min,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code,lat,lng,risk_wind,risk_rain,risk_temp,risk_score_total
Casablanca,2026-09-19,26.5,19.4,0,11.5,32.4,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-20,29.4,20.4,0,10.4,30.6,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-21,29.0,20.9,0,10.6,31.7,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-22,28.8,20.5,0,10.4,30.6,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-23,28.0,18.9,0,10.2,29.9,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-24,29.4,19.1,0,11.3,30.2,45,33.5992,-7.62,0,0.0,0,0.0
Casablanca,2026-09-25,26.5,20.0,0,12.0,33.1,45,33.5992,-7.62,0,0.0,0,0.0
Tangier,2026-09-19,27.6,22.9,0,31.0,74.2,2,35.7767,-5.8039,30,0.0,0,30.0
Tangier,2026-09-20,28.5,23.8,0,29.9,72.0,2,35.7767,-5.8039,30,0.0,0,30.0
Tangier,2026-09-21,28.8,22.8,0,27.9,65.9,1,35.7767,-5.8039,30,0.0,0,30.0
Tangier,2026-09-22,28.2,21.4,0,24.3,58.0,1,35.7767,-5.8039,15,0.0,0,15.0
Tangier,2026-09-23,28.8,20.9,0,22.1,51.8,1,35.7767,-5.8039,15,0.0,0,15.0
Tangier,2026-09-24,28.0,22.2,0,24.9,45.7,1,35.7767,-5.8039,15,0.0,0,15.0
Tangier,2026-09-25,24.8,18.3,0,10.1,20.9,45,35.7767,-5.8039,0,0.0,0,0.0
Fès,2026-09-19,33.8,21.2,5,17.8,46.1,2,34.0433,-5.0033,15,1.5,0,16.5
Fès,2026-09-20,35.2,21.7,0,14.5,38.5,2,34.0433,-5.0033,0,0.0,0,0.0
Fès,2026-09-21,34.2,21.9,0,12.7,33.8,1,34.0433,-5.0033,0,0.0,0,0.0
Fès,2026-09-22,33.2,20.5,0,12.0,32.0,0,34.0433,-5.0033,0,0.0,0,0.0
Fès,2026-09-23,34.8,18.9,0,8.4,22.7,0,34.0433,-5.0033,0,0.0,0,0.0
Fès,2026-09-24,36.0,21.8,0,13.7,33.5,2,34.0433,-5.0033,0,0.0,0,0.0
Fès,2026-09-25,33.5,20.0,0,16.3,40.3,3,34.0433,-5.0033,15,0.0,0,15.0
Marrakech,2026-09-19,36.6,20.6,23,11.4,30.2,3,31.6295,-7.9811,0,6.9,0,6.9
Marrakech,2026-09-20,37.2,22.9,48,12.5,43.6,3,31.6295,-7.9811,15,14.4,0,29.4
Marrakech,2026-09-21,37.4,22.7,3,14.7,40.0,3,31.6295,-7.9811,0,0.9,0,0.9
Marrakech,2026-09-22,36.9,20.5,1,13.3,36.4,2,31.6295,-7.9811,0,0.3,0,0.3
Marrakech,2026-09-23,36.7,19.0,0,12.6,34.6,0,31.6295,-7.9811,0,0.0,0,0.0
Marrakech,2026-09-24,37.1,18.5,0,16.6,28.4,1,31.6295,-7.9811,0,0.0,0,0.0
Marrakech,2026-09-25,34.5,21.7,3,17.9,30.6,3,31.6295,-7.9811,0,0.9,0,0.9
Sale,2026-09-19,28.7,17.0,0,12.6,32.8,2,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-20,30.9,19.9,0,11.9,31.3,0,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-21,30.4,20.7,0,11.5,31.0,1,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-22,29.9,20.2,0,10.8,28.8,0,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-23,28.6,18.2,0,11.4,29.2,0,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-24,27.4,19.4,0,10.7,25.6,45,34.05,-6.8167,0,0.0,0,0.0
Sale,2026-09-25,25.7,20.3,0,11.5,27.7,45,34.05,-6.8167,0,0.0,0,0.0
Meknès,2026-09-19,33.9,18.9,0,12.6,34.6,2,33.8833,-5.55,0,0.0,0,0.0
